mcg_sicdescription,mcg_naicscode,mcg_industrysector_displayname,mcg_industry_displayname,mcg_name,mcg_subsectortext0,mcg_description
"Crushed And Broken Stone, Nec",212319,Energy,Industrials,212319 - Other Crushed and Broken Stone Mining and Quarrying,Natural Resources (Metals and Mining),Other Crushed and Broken Stone Mining and Quarrying
Construction Sand And Gravel,212321,Energy,Industrials,212321 - Construction Sand and Gravel Mining,Natural Resources (Metals and Mining),Construction Sand and Gravel Mining
Industrial Sand,212322,Energy,Industrials,212322 - Industrial Sand Mining,Natural Resources (Metals and Mining),Industrial Sand Mining
Kaolin And Ball Clay,212324,Energy,Industrials,212324 - Kaolin and Ball Clay Mining,Natural Resources (Metals and Mining),Kaolin and Ball Clay Mining
"Clay And Related Minerals, Nec",212325,Energy,Industrials,212325 - Clay and Ceramic and Refractory Minerals Mining,Natural Resources (Metals and Mining),Clay and Ceramic and Refractory Minerals Mining
"Potash, Soda, And Borate Minerals",212391,Energy,Industrials,"212391 - Potash, Soda, and Borate Mineral Mining",Natural Resources (Metals and Mining),"Potash, Soda, and Borate Mineral Mining"
Phosphate Rock,212392,Energy,Industrials,212392 - Phosphate Rock Mining,Natural Resources (Metals and Mining),Phosphate Rock Mining
Chemical And Fertilizer Mining,212393,Energy,Industrials,212393 - Other Chemical and Fertilizer Mineral Mining,Natural Resources (Metals and Mining),Other Chemical and Fertilizer Mineral Mining
Miscellaneous Nonmetallic Mining,212399,Energy,Industrials,212399 - All Other Nonmetallic Mineral Mining,Natural Resources (Metals and Mining),All Other Nonmetallic Mineral Mining
Drilling Oil And Gas Wells,213111,Energy,Industrials,213111 - Drilling Oil and Gas Wells,Oilfield Services and Equipment,Drilling Oil and Gas Wells
Oil And Gas Exploration Services,213112,Energy,Industrials,213112 - Support Activities for Oil and Gas Operations,Oilfield Services and Equipment,Support Activities for Oil and Gas Operations
Coal Mining Services,213113,Energy,Industrials,213113 - Support Activities for Coal Mining,Natural Resources (Metals and Mining),Support Activities for Coal Mining
Metal Mining Services,213114,Energy,Industrials,213114 - Support Activities for Metal Mining,Natural Resources (Metals and Mining),Support Activities for Metal Mining
Nonmetallic Mineral Services,213115,Energy,Industrials,213115 - Support Activities for Nonmetallic Minerals (except Fuels) Mining,Natural Resources (Metals and Mining),Support Activities for Nonmetallic Minerals (except Fuels) Mining
"Transportation, communications, and utilities",221111,Energy,Industrials,221111 - Hydroelectric Power Generation,Renewables and Alternative Energy,Hydroelectric Power Generation
"Transportation, communications, and utilities",221112,Energy,Industrials,221112 - Fossil Fuel Electric Power Generation,Power & Utilities,Fossil Fuel Electric Power Generation
"Transportation, communications, and utilities",221113,Energy,Industrials,221113 - Nuclear Electric Power Generation,Power & Utilities,Nuclear Electric Power Generation
#N/A,221114,Energy,Industrials,221114 - Solar Electric Power Generation,Renewables and Alternative Energy,Solar Electric Power Generation
#N/A,221115,Energy,Industrials,221115 - Wind Electric Power Generation,Renewables and Alternative Energy,Wind Electric Power Generation
#N/A,221116,Energy,Industrials,221116 - Geothermal Electric Power Generation,Renewables and Alternative Energy,Geothermal Electric Power Generation
#N/A,221117,Energy,Industrials,221117 - Biomass Electric Power Generation,Renewables and Alternative Energy,Biomass Electric Power Generation
"Transportation, communications, and utilities",221118,Energy,Industrials,221118 - Other Electric Power Generation,Renewables and Alternative Energy,Other Electric Power Generation
"Transportation, communications, and utilities",221121,Energy,Industrials,221121 - Electric Bulk Power Transmission and Control,Power & Utilities,Electric Bulk Power Transmission and Control
"Transportation, communications, and utilities",221122,Energy,Industrials,221122 - Electric Power Distribution,Power & Utilities,Electric Power Distribution
Gas Transmission And Distribution,221210,Energy,Industrials,221210 - Natural Gas Distribution,Downstream,Natural Gas Distribution
Water Supply,221310,"State, Local Government",State and Local Government,221310 - Water Supply and Irrigation Systems,Utilities,Water Supply and Irrigation Systems
Sewerage Systems,221320,"State, Local Government",State and Local Government,221320 - Sewage Treatment Facilities,Utilities,Sewage Treatment Facilities
Steam And Air-Conditioning Supply,221330,Manufacturing,Industrials,221330 - Steam and Air-Conditioning Supply,Other Industrials,Steam and Air-Conditioning Supply
Single-Family Housing Construction,236115,Construction,Real Estate,236115 - New Single-Family Housing Construction (except For-Sale Builders),Residential Developers (Home Builders),New Single-Family Housing Construction (except For-Sale Builders)
"Residential Construction, Nec",236116,Construction,Real Estate,236116 - New Multifamily Housing Construction (except For-Sale Builders),Residential Developers (Home Builders),New Multifamily Housing Construction (except For-Sale Builders)
Operative Builders,236117,Construction,Real Estate,236117 - New Housing For-Sale Builders,Residential Developers (Home Builders),New Housing For-Sale Builders
Single-Family Housing Construction,236118,Construction,Real Estate,236118 - Residential Remodelers,Residential Developers (Home Builders),Residential Remodelers
Industrial Buildings And Warehouses,236210,Construction,Real Estate,236210 - Industrial Building Construction,General Construction,Industrial Building Construction
Industrial Buildings And Warehouses,236220,Construction,Real Estate,236220 - Commercial and Institutional Building Construction,General Construction,Commercial and Institutional Building Construction
"Water, Sewer, And Utility Lines",237110,Construction,Real Estate,237110 - Water and Sewer Line and Related Structures Construction,General Construction,Water and Sewer Line and Related Structures Construction
"Oil And Gas Field Services, Nec",237120,Construction,Real Estate,237120 - Oil and Gas Pipeline and Related Structures Construction,General Construction,Oil and Gas Pipeline and Related Structures Construction
"Water, Sewer, And Utility Lines",237130,Construction,Real Estate,237130 - Power and Communication Line and Related Structures Construction,General Construction,Power and Communication Line and Related Structures Construction
"Subdividers And Developers, Nec",237210,Construction,Real Estate,237210 - Land Subdivision,Residential Developers (Home Builders),Land Subdivision
Highway And Street Construction,237310,Construction,Real Estate,"237310 - Highway, Street, and Bridge Construction",General Construction,"Highway, Street, and Bridge Construction"
"Heavy Construction, Nec",237990,Construction,Real Estate,237990 - Other Heavy and Civil Engineering Construction,General Construction,Other Heavy and Civil Engineering Construction
Concrete Work,238110,Construction,Real Estate,238110 - Poured Concrete Foundation and Structure Contractors,Specialty Contractors,Poured Concrete Foundation and Structure Contractors
Structural Steel Erection,238120,Construction,Real Estate,238120 - Structural Steel and Precast Concrete Contractors,Specialty Contractors,Structural Steel and Precast Concrete Contractors
Carpentry Work,238130,Construction,Real Estate,238130 - Framing Contractors,Specialty Contractors,Framing Contractors
Masonry And Other Stonework,238140,Construction,Real Estate,238140 - Masonry Contractors,Specialty Contractors,Masonry Contractors
