mcg_sicdescription,mcg_naicscode,mcg_industrysector_displayname,mcg_industry_displayname,mcg_name,mcg_subsectortext0,mcg_description
Aluminum Foundries,331524,Manufacturing,Industrials,331524 - Aluminum Foundries (except Die-Casting),Manufacturing,Aluminum Foundries (except Die-Casting)
Copper Foundries,331529,Manufacturing,Industrials,331529 - Other Nonferrous Metal Foundries (except Die-Casting),Manufacturing,Other Nonferrous Metal Foundries (except Die-Casting)
Iron And Steel Forgings,332111,Manufacturing,Industrials,332111 - Iron and Steel Forging,Manufacturing,Iron and Steel Forging
Nonferrous Forgings,332112,Manufacturing,Industrials,332112 - Nonferrous Forging,Manufacturing,Nonferrous Forging
Miscellaneous Metalwork,332114,Manufacturing,Industrials,332114 - Custom Roll Forming,Manufacturing,Custom Roll Forming
"Fabricated Metal Products, Nec",332117,Manufacturing,Industrials,332117 - Powder Metallurgy Part Manufacturing,Manufacturing,Powder Metallurgy Part Manufacturing
Crowns And Closures,332119,Manufacturing,Industrials,"332119 - Metal Crown, Closure, and Other Metal Stamping (except Automotive)",Manufacturing,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)"
"Metal Stampings, Nec",332215,Consumer Goods,Consumer Products,"332215 - Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",Home & Leisure,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
"Hand And Edge Tools, Nec",332216,Consumer Goods,Consumer Products,332216 - Saw Blade and Handtool Manufacturing,Home & Leisure,Saw Blade and Handtool Manufacturing
Prefabricated Metal Buildings,332311,Manufacturing,Industrials,332311 - Prefabricated Metal Building and Component Manufacturing,Manufacturing,Prefabricated Metal Building and Component Manufacturing
Fabricated Structural Metal,332312,Manufacturing,Industrials,332312 - Fabricated Structural Metal Manufacturing,Manufacturing,Fabricated Structural Metal Manufacturing
Fabricated Plate Work (Boiler Shop),332313,Manufacturing,Industrials,332313 - Plate Work Manufacturing,Manufacturing,Plate Work Manufacturing
"Metal Doors, Sash, And Trim",332321,Manufacturing,Industrials,332321 - Metal Window and Door Manufacturing,Manufacturing,Metal Window and Door Manufacturing
Sheet Metalwork,332322,Manufacturing,Industrials,332322 - Sheet Metal Work Manufacturing,Manufacturing,Sheet Metal Work Manufacturing
Architectural Metalwork,332323,Manufacturing,Industrials,332323 - Ornamental and Architectural Metal Work Manufacturing,Manufacturing,Ornamental and Architectural Metal Work Manufacturing
Fabricated Plate Work (Boiler Shop),332410,Manufacturing,Industrials,332410 - Power Boiler and Heat Exchanger Manufacturing,Manufacturing,Power Boiler and Heat Exchanger Manufacturing
Fabricated Plate Work (Boiler Shop),332420,Manufacturing,Industrials,332420 - Metal Tank (Heavy Gauge) Manufacturing,Manufacturing,Metal Tank (Heavy Gauge) Manufacturing
Metal Cans,332431,Manufacturing,Industrials,332431 - Metal Can Manufacturing,Manufacturing,Metal Can Manufacturing
"Metal Barrels, Drums, And Pails",332439,Manufacturing,Industrials,332439 - Other Metal Container Manufacturing,Manufacturing,Other Metal Container Manufacturing
"Hardware, Nec",332510,Manufacturing,Industrials,332510 - Hardware Manufacturing,Manufacturing,Hardware Manufacturing
"Steel Springs, Except Wire",332613,Manufacturing,Industrials,332613 - Spring Manufacturing,Manufacturing,Spring Manufacturing
Steel Wire And Related Products,332618,Manufacturing,Industrials,332618 - Other Fabricated Wire Product Manufacturing,Manufacturing,Other Fabricated Wire Product Manufacturing
"Industrial Machinery, Nec",332710,Manufacturing,Industrials,332710 - Machine Shops,Manufacturing,Machine Shops
Screw Machine Products,332721,Manufacturing,Industrials,332721 - Precision Turned Product Manufacturing,Manufacturing,Precision Turned Product Manufacturing
"Bolts, Nuts, Rivets, And Washers",332722,Manufacturing,Industrials,"332722 - Bolt, Nut, Screw, Rivet, and Washer Manufacturing",Manufacturing,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
Metal Heat Treating,332811,Manufacturing,Industrials,332811 - Metal Heat Treating,Manufacturing,Metal Heat Treating
Metal Coating And Allied Services,332812,Manufacturing,Industrials,"332812 - Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",Manufacturing,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
Plating And Polishing,332813,Manufacturing,Industrials,"332813 - Electroplating, Plating, Polishing, Anodizing, and Coloring",Manufacturing,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
Industrial Valves,332911,Manufacturing,Industrials,332911 - Industrial Valve Manufacturing,Manufacturing,Industrial Valve Manufacturing
Fluid Power Valves And Hose Fittings,332912,Manufacturing,Industrials,332912 - Fluid Power Valve and Hose Fitting Manufacturing,Manufacturing,Fluid Power Valve and Hose Fitting Manufacturing
Plumbing Fixture Fittings And Trim,332913,Manufacturing,Industrials,332913 - Plumbing Fixture Fitting and Trim Manufacturing,Manufacturing,Plumbing Fixture Fitting and Trim Manufacturing
"Valves And Pipe Fittings, Nec",332919,Manufacturing,Industrials,332919 - Other Metal Valve and Pipe Fitting Manufacturing,Manufacturing,Other Metal Valve and Pipe Fitting Manufacturing
Ball And Roller Bearings,332991,Manufacturing,Industrials,332991 - Ball and Roller Bearing Manufacturing,Manufacturing,Ball and Roller Bearing Manufacturing
Small Arms Ammunition,332992,Consumer Goods,Consumer Products,332992 - Small Arms Ammunition Manufacturing,Home & Leisure,Small Arms Ammunition Manufacturing
"Ammunition, Except For Small Arms, Nec",332993,Consumer Goods,Consumer Products,332993 - Ammunition (except Small Arms) Manufacturing,Home & Leisure,Ammunition (except Small Arms) Manufacturing
Small Arms,332994,Consumer Goods,Consumer Products,"332994 - Small Arms, Ordnance, and Ordnance Accessories Manufacturing",Home & Leisure,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
Fabricated Pipe And Fittings,332996,Manufacturing,Industrials,332996 - Fabricated Pipe and Pipe Fitting Manufacturing,Manufacturing,Fabricated Pipe and Pipe Fitting Manufacturing
Metal Sanitary Ware,332999,Manufacturing,Industrials,332999 - All Other Miscellaneous Fabricated Metal Product Manufacturing,Manufacturing,All Other Miscellaneous Fabricated Metal Product Manufacturing
Farm Machinery And Equipment,333111,Manufacturing,Industrials,333111 - Farm Machinery and Equipment Manufacturing,Manufacturing,Farm Machinery and Equipment Manufacturing
Lawn And Garden Equipment,333112,Consumer Goods,Consumer Products,333112 - Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,Home & Leisure,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
Construction Machinery,333120,Manufacturing,Industrials,333120 - Construction Machinery Manufacturing,Manufacturing,Construction Machinery Manufacturing
Mining Machinery,333131,Energy,Industrials,333131 - Mining Machinery and Equipment Manufacturing,Natural Resources (Metals and Mining),Mining Machinery and Equipment Manufacturing
Oil And Gas Field Machinery,333132,Energy,Industrials,333132 - Oil and Gas Field Machinery and Equipment Manufacturing,Oilfield Services and Equipment,Oil and Gas Field Machinery and Equipment Manufacturing
Food Products Machinery,333241,Manufacturing,Industrials,333241 - Food Product Machinery Manufacturing,Manufacturing,Food Product Machinery Manufacturing
"Special Industry Machinery, Nec",333242,Technology,TMT,333242 - Semiconductor Machinery Manufacturing,Semiconductor,Semiconductor Machinery Manufacturing
Woodworking Machinery,333243,Manufacturing,Industrials,"333243 - Sawmill, Woodworking, and Paper Machinery Manufacturing",Manufacturing,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
Printing Trades Machinery,333244,Manufacturing,Industrials,333244 - Printing Machinery and Equipment Manufacturing,Manufacturing,Printing Machinery and Equipment Manufacturing
"Special Industry Machinery, Nec",333249,Manufacturing,Industrials,333249 - Other Industrial Machinery Manufacturing,Manufacturing,Other Industrial Machinery Manufacturing
Optical Instruments And Lenses,333314,Medical Devices,Life Sciences,333314 - Optical Instrument and Lens Manufacturing,Medical Devices,Optical Instrument and Lens Manufacturing
Photographic Equipment And Supplies,333316,Technology,TMT,333316 - Photographic and Photocopying Equipment Manufacturing,Hardware,Photographic and Photocopying Equipment Manufacturing
Calculating And Accounting Equipment,333318,Manufacturing,Industrials,333318 - Other Commercial and Service Industry Machinery Manufacturing,Manufacturing,Other Commercial and Service Industry Machinery Manufacturing
Blowers And Fans,333413,Manufacturing,Industrials,333413 - Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,Manufacturing,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
"Heating Equipment, Except Electric",333414,Manufacturing,Industrials,333414 - Heating Equipment (except Warm Air Furnaces) Manufacturing,Manufacturing,Heating Equipment (except Warm Air Furnaces) Manufacturing
Refrigeration And Heating Equipment,333415,Manufacturing,Industrials,333415 - Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,Manufacturing,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
"Special Dies, Tools, Jigs, And Fixtures",333511,Manufacturing,Industrials,333511 - Industrial Mold Manufacturing,Manufacturing,Industrial Mold Manufacturing
"Special Dies, Tools, Jigs, And Fixtures",333514,Manufacturing,Industrials,"333514 - Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",Manufacturing,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
Machine Tool Accessories,333515,Manufacturing,Industrials,333515 - Cutting Tool and Machine Tool Accessory Manufacturing,Manufacturing,Cutting Tool and Machine Tool Accessory Manufacturing
"Machine Tools, Metal Cutting Type",333517,Manufacturing,Industrials,333517 - Machine Tool Manufacturing,Manufacturing,Machine Tool Manufacturing
Rolling Mill Machinery,333519,Manufacturing,Industrials,333519 - Rolling Mill and Other Metalworking Machinery Manufacturing,Manufacturing,Rolling Mill and Other Metalworking Machinery Manufacturing
Turbines And Turbine Generator Sets,333611,Manufacturing,Industrials,333611 - Turbine and Turbine Generator Set Units Manufacturing,Manufacturing,Turbine and Turbine Generator Set Units Manufacturing
"Speed Changers, Drives, And Gears",333612,Manufacturing,Industrials,"333612 - Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",Manufacturing,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
"Power Transmission Equipment, Nec",333613,Manufacturing,Industrials,333613 - Mechanical Power Transmission Equipment Manufacturing,Manufacturing,Mechanical Power Transmission Equipment Manufacturing
"Internal Combustion Engines, Nec",333618,Manufacturing,Industrials,333618 - Other Engine Equipment Manufacturing,Manufacturing,Other Engine Equipment Manufacturing
Pumps And Pumping Equipment,333911,Other Industrial Products,Industrials,333911 - Pump and Pumping Equipment Manufacturing,Industrial Manufacturing,Pump and Pumping Equipment Manufacturing
Air And Gas Compressors,333912,Manufacturing,Industrials,333912 - Air and Gas Compressor Manufacturing,Manufacturing,Air and Gas Compressor Manufacturing
Measuring And Dispensing Pumps,333913,Other Industrial Products,Industrials,333913 - Measuring and Dispensing Pump Manufacturing,Industrial Manufacturing,Measuring and Dispensing Pump Manufacturing
Elevators And Moving Stairways,333921,Manufacturing,Industrials,333921 - Elevator and Moving Stairway Manufacturing,Manufacturing,Elevator and Moving Stairway Manufacturing
Conveyors And Conveying Equipment,333922,Manufacturing,Industrials,333922 - Conveyor and Conveying Equipment Manufacturing,Manufacturing,Conveyor and Conveying Equipment Manufacturing
"Hoists, Cranes, And Monorails",333923,Manufacturing,Industrials,"333923 - Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",Manufacturing,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
Industrial Trucks And Tractors,333924,Manufacturing,Industrials,"333924 - Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",Manufacturing,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
Power-Driven Handtools,333991,Manufacturing,Industrials,333991 - Power-Driven Handtool Manufacturing,Manufacturing,Power-Driven Handtool Manufacturing
Welding Apparatus,333992,Manufacturing,Industrials,333992 - Welding and Soldering Equipment Manufacturing,Manufacturing,Welding and Soldering Equipment Manufacturing
Packaging Machinery,333993,Manufacturing,Industrials,333993 - Packaging Machinery Manufacturing,Manufacturing,Packaging Machinery Manufacturing
Industrial Furnaces And Ovens,333994,Manufacturing,Industrials,333994 - Industrial Process Furnace and Oven Manufacturing,Manufacturing,Industrial Process Furnace and Oven Manufacturing
Fluid Power Cylinders And Actuators,333995,Manufacturing,Industrials,333995 - Fluid Power Cylinder and Actuator Manufacturing,Manufacturing,Fluid Power Cylinder and Actuator Manufacturing
Fluid Power Pumps And Motors,333996,Manufacturing,Industrials,333996 - Fluid Power Pump and Motor Manufacturing,Manufacturing,Fluid Power Pump and Motor Manufacturing
"Scales And Balances, Except Laboratory",333997,Manufacturing,Industrials,333997 - Scale and Balance Manufacturing,Manufacturing,Scale and Balance Manufacturing
"General Industrial Machinery,",333999,Manufacturing,Industrials,333999 - All Other Miscellaneous General Purpose Machinery Manufacturing,Manufacturing,All Other Miscellaneous General Purpose Machinery Manufacturing
Electronic Computers,334111,Technology,TMT,334111 - Electronic Computer Manufacturing,Hardware,Electronic Computer Manufacturing
Computer Storage Devices,334112,Technology,TMT,334112 - Computer Storage Device Manufacturing,Hardware,Computer Storage Device Manufacturing
Computer Terminals,334118,Technology,TMT,334118 - Computer Terminal and Other Computer Peripheral Equipment Manufacturing,Hardware,Computer Terminal and Other Computer Peripheral Equipment Manufacturing
Telephone And Telegraph Apparatus,334210,Telecommunications,TMT,334210 - Telephone Apparatus Manufacturing,Telecommunications,Telephone Apparatus Manufacturing
Radio And T.V. Communications Equipment,334220,Media & Entertainment,TMT,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Media,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
"Communications Equipment, Nec",334290,Telecommunications,TMT,334290 - Other Communications Equipment Manufacturing,Telecommunications,Other Communications Equipment Manufacturing
Household Audio And Video Equipment,334310,Telecommunications,TMT,334310 - Audio and Video Equipment Manufacturing,Telecommunications,Audio and Video Equipment Manufacturing
Printed Circuit Boards,334412,Technology,TMT,334412 - Bare Printed Circuit Board Manufacturing,Hardware,Bare Printed Circuit Board Manufacturing
Semiconductors And Related Devices,334413,Technology,TMT,334413 - Semiconductor and Related Device Manufacturing,Semiconductor,Semiconductor and Related Device Manufacturing
Electronic Capacitors,334416,Technology,TMT,"334416 - Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",Hardware,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
Electronic Connectors,334417,Technology,TMT,334417 - Electronic Connector Manufacturing,Hardware,Electronic Connector Manufacturing
Printed Circuit Boards,334418,Technology,TMT,334418 - Printed Circuit Assembly (Electronic Assembly) Manufacturing,Hardware,Printed Circuit Assembly (Electronic Assembly) Manufacturing
Electron Tubes,334419,Technology,TMT,334419 - Other Electronic Component Manufacturing,Hardware,Other Electronic Component Manufacturing
Electromedical Equipment,334510,Medical Devices,Life Sciences,334510 - Electromedical and Electrotherapeutic Apparatus Manufacturing,Medical Devices,Electromedical and Electrotherapeutic Apparatus Manufacturing
Search And Navigation Equipment,334511,Technology,TMT,"334511 - Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",Hardware,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
Environmental Controls,334512,Manufacturing,Industrials,"334512 - Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",Manufacturing,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use"
Process Control Instruments,334513,Manufacturing,Industrials,"334513 - Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",Other Industrials,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
Fluid Meters And Counting Devices,334514,Manufacturing,Industrials,334514 - Totalizing Fluid Meter and Counting Device Manufacturing,Manufacturing,Totalizing Fluid Meter and Counting Device Manufacturing
Instruments To Measure Electricity,334515,Manufacturing,Industrials,334515 - Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,Electronics,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
Analytical Instruments,334516,Medical Devices,Life Sciences,334516 - Analytical Laboratory Instrument Manufacturing,Medical Devices,Analytical Laboratory Instrument Manufacturing
X-Ray Apparatus And Tubes,334517,Medical Devices,Life Sciences,334517 - Irradiation Apparatus Manufacturing,Medical Devices,Irradiation Apparatus Manufacturing
"Measuring And Controlling Devices, Nec",334519,Manufacturing,Industrials,334519 - Other Measuring and Controlling Device Manufacturing,Manufacturing,Other Measuring and Controlling Device Manufacturing
Magnetic And Optical Recording Media,334613,Manufacturing,Industrials,334613 - Blank Magnetic and Optical Recording Media Manufacturing,Electronics,Blank Magnetic and Optical Recording Media Manufacturing
Prerecorded Records And Tapes,334614,Technology,TMT,"334614 - Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",Hardware,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing"
Electric Lamps,335110,Consumer Goods,Consumer Products,335110 - Electric Lamp Bulb and Part Manufacturing,Home & Leisure,Electric Lamp Bulb and Part Manufacturing
Residential Lighting Fixtures,335121,Consumer Goods,Consumer Products,335121 - Residential Electric Lighting Fixture Manufacturing,Home & Leisure,Residential Electric Lighting Fixture Manufacturing
Commercial Lighting Fixtures,335122,Manufacturing,Industrials,"335122 - Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",Manufacturing,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
"Lighting Equipment, Nec",335129,Consumer Goods,Consumer Products,335129 - Other Lighting Equipment Manufacturing,Home & Leisure,Other Lighting Equipment Manufacturing
Electric Housewares And Fans,335210,Consumer Goods,Consumer Products,335210 - Small Electrical Appliance Manufacturing,Home & Leisure,Small Electrical Appliance Manufacturing
Household Cooking Equipment,335221,Fashion & Home Furnishings,Consumer Products,335221 - Household Cooking Appliance Manufacturing,Other Consumer Products,Household Cooking Appliance Manufacturing
Household Refrigerators And Freezers,335222,Fashion & Home Furnishings,Consumer Products,335222 - Household Refrigerator and Home Freezer Manufacturing,Other Consumer Products,Household Refrigerator and Home Freezer Manufacturing
Household Laundry Equipment,335224,Fashion & Home Furnishings,Consumer Products,335224 - Household Laundry Equipment Manufacturing,Other Consumer Products,Household Laundry Equipment Manufacturing
"Household Appliances, Nec",335228,Fashion & Home Furnishings,Consumer Products,335228 - Other Major Household Appliance Manufacturing,Other Consumer Products,Other Major Household Appliance Manufacturing
"Transformers, Except Electric",335311,Manufacturing,Industrials,"335311 - Power, Distribution, and Specialty Transformer Manufacturing",Manufacturing,"Power, Distribution, and Specialty Transformer Manufacturing"
Motors And Generators,335312,Manufacturing,Industrials,335312 - Motor and Generator Manufacturing,Electronics,Motor and Generator Manufacturing
Switchgear And Switchboard Apparatus,335313,Manufacturing,Industrials,335313 - Switchgear and Switchboard Apparatus Manufacturing,Electronics,Switchgear and Switchboard Apparatus Manufacturing
Relays And Industrial Controls,335314,Manufacturing,Industrials,335314 - Relay and Industrial Control Manufacturing,Electronics,Relay and Industrial Control Manufacturing
Storage Batteries,335911,Energy,Industrials,335911 - Storage Battery Manufacturing,Renewables and Alternative Energy,Storage Battery Manufacturing
"Primary Batteries, Dry And Wet",335912,Manufacturing,Industrials,335912 - Primary Battery Manufacturing,Electronics,Primary Battery Manufacturing
Nonferrous Wiredrawing And Insulating,335921,Manufacturing,Industrials,335921 - Fiber Optic Cable Manufacturing,Manufacturing,Fiber Optic Cable Manufacturing
Nonferrous Wiredrawing And Insulating,335929,Manufacturing,Industrials,335929 - Other Communication and Energy Wire Manufacturing,Manufacturing,Other Communication and Energy Wire Manufacturing
Current-Carrying Wiring Devices,335931,Technology,TMT,335931 - Current-Carrying Wiring Device Manufacturing,Hardware,Current-Carrying Wiring Device Manufacturing
Noncurrent-Carrying Wiring Devices,335932,Manufacturing,Industrials,335932 - Noncurrent-Carrying Wiring Device Manufacturing,Electronics,Noncurrent-Carrying Wiring Device Manufacturing
Carbon And Graphite Products,335991,Manufacturing,Industrials,335991 - Carbon and Graphite Product Manufacturing,Electronics,Carbon and Graphite Product Manufacturing
Electrical Industrial Apparatus,335999,Technology,TMT,335999 - All Other Miscellaneous Electrical Equipment and Component Manufacturing,Hardware,All Other Miscellaneous Electrical Equipment and Component Manufacturing
Motor Vehicles And Car Bodies,336111,Manufacturing,Industrials,336111 - Automobile Manufacturing,Automotive,Automobile Manufacturing
Motor Vehicles And Car Bodies,336112,Manufacturing,Industrials,336112 - Light Truck and Utility Vehicle Manufacturing,Automotive,Light Truck and Utility Vehicle Manufacturing
Motor Vehicles And Car Bodies,336120,Manufacturing,Industrials,336120 - Heavy Duty Truck Manufacturing,Automotive,Heavy Duty Truck Manufacturing
Truck And Bus Bodies,336211,Manufacturing,Industrials,336211 - Motor Vehicle Body Manufacturing,Automotive,Motor Vehicle Body Manufacturing
Truck Trailers,336212,Manufacturing,Industrials,336212 - Truck Trailer Manufacturing,Automotive,Truck Trailer Manufacturing
Motor Homes,336213,Manufacturing,Industrials,336213 - Motor Home Manufacturing,Automotive,Motor Home Manufacturing
Travel Trailers And Campers,336214,Manufacturing,Industrials,336214 - Travel Trailer and Camper Manufacturing,Automotive,Travel Trailer and Camper Manufacturing
"Carburetors, Pistons, Rings, Valves",336310,Manufacturing,Industrials,336310 - Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,Automotive,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
Vehicular Lighting Equipment,336320,Manufacturing,Industrials,336320 - Motor Vehicle Electrical and Electronic Equipment Manufacturing,Automotive,Motor Vehicle Electrical and Electronic Equipment Manufacturing
Motor Vehicle Parts And Accessories,336330,Manufacturing,Industrials,336330 - Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,Automotive,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
Asbestos Products,336340,Manufacturing,Industrials,336340 - Motor Vehicle Brake System Manufacturing,Automotive,Motor Vehicle Brake System Manufacturing
Motor Vehicle Parts And Accessories,336350,Manufacturing,Industrials,336350 - Motor Vehicle Transmission and Power Train Parts Manufacturing,Automotive,Motor Vehicle Transmission and Power Train Parts Manufacturing
Automotive And Apparel Trimmings,336360,Manufacturing,Industrials,336360 - Motor Vehicle Seating and Interior Trim Manufacturing,Automotive,Motor Vehicle Seating and Interior Trim Manufacturing
Automotive Stampings,336370,Manufacturing,Industrials,336370 - Motor Vehicle Metal Stamping,Automotive,Motor Vehicle Metal Stamping
Motor Vehicle Parts And Accessories,336390,Manufacturing,Industrials,336390 - Other Motor Vehicle Parts Manufacturing,Automotive,Other Motor Vehicle Parts Manufacturing
Aircraft,336411,Manufacturing,Industrials,336411 - Aircraft Manufacturing,Aerospace,Aircraft Manufacturing
Aircraft Engines And Engine Parts,336412,Manufacturing,Industrials,336412 - Aircraft Engine and Engine Parts Manufacturing,Aerospace,Aircraft Engine and Engine Parts Manufacturing
"Aircraft Parts And Equipment, Nec",336413,Manufacturing,Industrials,336413 - Other Aircraft Parts and Auxiliary Equipment Manufacturing,Aerospace,Other Aircraft Parts and Auxiliary Equipment Manufacturing
Guided Missiles And Space Vehicles,336414,Manufacturing,Industrials,336414 - Guided Missile and Space Vehicle Manufacturing,Aerospace,Guided Missile and Space Vehicle Manufacturing
Space Propulsion Units And Parts,336415,Manufacturing,Industrials,336415 - Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,Aerospace,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing
"Space Vehicle Equipment, Nec",336419,Manufacturing,Industrials,336419 - Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,Aerospace,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing
Railroad Equipment,336510,Manufacturing,Industrials,336510 - Railroad Rolling Stock Manufacturing,Manufacturing,Railroad Rolling Stock Manufacturing
Shipbuilding And Repairing,336611,Manufacturing,Industrials,336611 - Ship Building and Repairing,Manufacturing,Ship Building and Repairing
Boatbuilding And Repairing,336612,Manufacturing,Industrials,336612 - Boat Building,Automotive,Boat Building
"Motorcycles, Bicycles, And Parts",336991,Manufacturing,Industrials,"336991 - Motorcycle, Bicycle, and Parts Manufacturing",Automotive,"Motorcycle, Bicycle, and Parts Manufacturing"
Tanks And Tank Components,336992,Manufacturing,Industrials,"336992 - Military Armored Vehicle, Tank, and Tank Component Manufacturing",Manufacturing,"Military Armored Vehicle, Tank, and Tank Component Manufacturing"
"Transportation Equipment, Nec",336999,Manufacturing,Industrials,336999 - All Other Transportation Equipment Manufacturing,Manufacturing,All Other Transportation Equipment Manufacturing
Wood Kitchen Cabinets,337110,Consumer Goods,Consumer Products,337110 - Wood Kitchen Cabinet and Countertop Manufacturing,Home & Leisure,Wood Kitchen Cabinet and Countertop Manufacturing
Upholstered Household Furniture,337121,Consumer Goods,Consumer Products,337121 - Upholstered Household Furniture Manufacturing,Home & Leisure,Upholstered Household Furniture Manufacturing
Wood Household Furniture,337122,Consumer Goods,Consumer Products,337122 - Nonupholstered Wood Household Furniture Manufacturing,Home & Leisure,Nonupholstered Wood Household Furniture Manufacturing
Metal Household Furniture,337124,Consumer Goods,Consumer Products,337124 - Metal Household Furniture Manufacturing,Home & Leisure,Metal Household Furniture Manufacturing
"Household Furniture, Nec",337125,Consumer Goods,Consumer Products,337125 - Household Furniture (except Wood and Metal) Manufacturing,Home & Leisure,Household Furniture (except Wood and Metal) Manufacturing
Public Building And Related Furniture,337127,Consumer Goods,Consumer Products,337127 - Institutional Furniture Manufacturing,Home & Leisure,Institutional Furniture Manufacturing
Wood Office Furniture,337211,Consumer Goods,Consumer Products,337211 - Wood Office Furniture Manufacturing,Home & Leisure,Wood Office Furniture Manufacturing
Wood Partitions And Fixtures,337212,Consumer Goods,Consumer Products,337212 - Custom Architectural Woodwork and Millwork Manufacturing,Home & Leisure,Custom Architectural Woodwork and Millwork Manufacturing
"Office Furniture, Except Wood",337214,Consumer Goods,Consumer Products,337214 - Office Furniture (except Wood) Manufacturing,Home & Leisure,Office Furniture (except Wood) Manufacturing
"Partitions And Fixtures, Except Wood",337215,Consumer Goods,Consumer Products,"337215 - Showcase, Partition, Shelving, and Locker Manufacturing",Home & Leisure,"Showcase, Partition, Shelving, and Locker Manufacturing"
Mattresses And Bedsprings,337910,Consumer Goods,Consumer Products,337910 - Mattress Manufacturing,Home & Leisure,Mattress Manufacturing
Drapery Hardware And Blinds And Shades,337920,Consumer Goods,Consumer Products,337920 - Blind and Shade Manufacturing,Home & Leisure,Blind and Shade Manufacturing
Surgical And Medical Instruments,339112,Medical Devices,Life Sciences,339112 - Surgical and Medical Instrument Manufacturing,Medical Devices,Surgical and Medical Instrument Manufacturing
Surgical Appliances And Supplies,339113,Medical Devices,Life Sciences,339113 - Surgical Appliance and Supplies Manufacturing,Medical Devices,Surgical Appliance and Supplies Manufacturing
Dental Equipment And Supplies,339114,Medical Devices,Life Sciences,339114 - Dental Equipment and Supplies Manufacturing,Medical Devices,Dental Equipment and Supplies Manufacturing
Ophthalmic Goods,339115,Manufacturing,Industrials,339115 - Ophthalmic Goods Manufacturing,Other Industrials,Ophthalmic Goods Manufacturing
Dental Laboratories,339116,Hospitals & Health Care Systems,Health Care,339116 - Dental Laboratories,Dental,Dental Laboratories
"Jewelry, Precious Metal",339910,Consumer Goods,Consumer Products,339910 - Jewelry and Silverware Manufacturing,Fashion,Jewelry and Silverware Manufacturing
"Sporting And Athletic Goods, Nec",339920,Consumer Goods,Consumer Products,339920 - Sporting and Athletic Goods Manufacturing,Home & Leisure,Sporting and Athletic Goods Manufacturing
Dolls And Stuffed Toys,339930,Consumer Goods,Consumer Products,"339930 - Doll, Toy, and Game Manufacturing",Home & Leisure,"Doll, Toy, and Game Manufacturing"
